lap2-0.csv,lap2-0.csv (from view of ref lap),lap2-1.csv,lap2-1.csv (from view of ref lap),lap2-10.csv,lap2-10.csv (from view of ref lap),lap2-11.csv,lap2-11.csv (from view of ref lap),lap2-12.csv,lap2-12.csv (from view of ref lap),lap2-13.csv,lap2-13.csv (from view of ref lap),lap2-14.csv,lap2-14.csv (from view of ref lap),lap2-15.csv,lap2-15.csv (from view of ref lap),lap2-16.csv,lap2-16.csv (from view of ref lap),lap2-2.csv,lap2-2.csv (from view of ref lap),lap2-3.csv,lap2-3.csv (from view of ref lap),lap2-4.csv,lap2-4.csv (from view of ref lap),lap2-5.csv,lap2-5.csv (from view of ref lap),lap2-6.csv,lap2-6.csv (from view of ref lap),lap2-7.csv,lap2-7.csv (from view of ref lap),lap2-8.csv,lap2-8.csv (from view of ref lap),lap2-9.csv,lap2-9.csv (from view of ref lap),lap3-0.csv,lap3-0.csv (from view of ref lap),lap3-1.csv,lap3-1.csv (from view of ref lap),lap3-2.csv,lap3-2.csv (from view of ref lap),lap3-3.csv,lap3-3.csv (from view of ref lap),lap3-4.csv,lap3-4.csv (from view of ref lap)
39.9856643813,22.9581590707,5.96571317213,72.3693111825,8.14431830937,12.7860292777,68.4224540099,14.0267712696,16.8717215138,16.8467389074,10.800051077,13.595178484,210.724055225,1453.0335080301727,49.721063131,17.9559223397,77.8495023631,2891.418121623782,6.5490437084,10.5563252479,3.20682529861,54.6012494499,16.1155697903,16.9195713124,7.39096883184,16.5204222706,18.9457203937,15.074925731,1.77911881929,15.4448625876,6.01661510075,14.4540508323,4.90187432548,16.5968491353,5.89717864005,20.3727947982,11.6129335703,16.6414732664,10.4435533805,18.1903267987,212.972497837,383.556443686,,2744.3610739591254
37.0028627597,15.9965783063,5.24290486458,76.9476509229,9.71209954622,13.4446470639,67.6996457537,15.5143597893,20.031870631,17.6687246829,7.15797789182,13.2646431435,209.879082193,1559.2153709078348,48.876090099,18.9326865922,77.1266941583,2988.4769666527895,4.69822703149,5.22860247684,2.3618522666,51.154449005,15.2705967282,17.0207580128,8.11377708804,15.7608666872,19.7906934257,15.0501250102,2.89106808925,15.9267357542,6.86158813276,14.6650073643,3.7572741916,16.6471572869,4.79664651916,20.8553880738,8.90093846921,17.8802800616,10.6798548674,18.7742941007,213.181704634,460.24469389,,2847.1037007317577
33.1399864534,8.54478594521,5.96571317213,80.0618538078,8.86712651421,14.2926940434,66.8546727217,14.8297666208,20.3342957017,18.4968414221,3.93133427686,13.140450111,209.034109161,1667.07419098,49.721063131,20.4149947347,76.2817211563,3087.297652162686,1.19436534349,0.130591759438,3.20682529861,47.1927843249,16.1155697903,18.1949171233,7.39096883184,16.5666411306,18.9457203937,14.3900021698,1.42115828184,16.7510247154,6.01661510075,15.5130543204,0.229671060482,16.6657362333,2.61792311133,21.3252786552,7.25538683636,17.903240651,10.2357214455,18.7958668496,213.286307992,538.405899685,,2951.304397689633
24.9230007917,0.438344308465,5.24290486458,80.7495016928,9.71209954622,13.7184907726,67.6996457537,15.5992461029,22.0376695322,18.1812997279,0.202802128887,13.1404502064,209.879082193,1776.12829679196,48.876090099,20.4722871227,77.1266941583,3187.95156561235,0.373239132159,7.18255002027,2.3618522666,39.1877243666,14.5477885234,18.5578080384,8.23594186385,16.5408431224,19.7906934257,14.3900022293,2.30508925276,16.7918560835,6.86158813276,15.2152187795,0.0895308255579,16.2202184405,0.673180101226,21.4080150499,4.27324004789,17.5423807591,10.9565503723,18.7355881206,213.390911379,619.780973384,,3057.1325747791807
18.8276277002,5.98398445762,6.0878779266,82.2475916165,8.86712651421,15.0580552002,66.8546727217,15.6395542297,21.7567856881,19.4690006474,3.14506746927,13.9466128303,209.034109161,1887.87028269,49.721063131,21.0576986472,77.0045293611,3291.1838723351516,3.22310826329,15.001618279,3.20682529861,32.6825660741,15.2705967282,19.4050567523,7.39096883184,15.8692635941,18.9457203937,15.1961648269,3.27452184796,17.1526233018,6.01661510075,15.6179573304,1.83736808143,16.3892932278,2.11206111667,22.2974301172,0.786266924036,18.7350060248,10.2067618504,20.1489527107,213.495514766,698.82210184,,3165.2383442771866
13.5686183806,11.9530566497,5.24290486458,81.2183477136,8.14431830937,14.5863230192,67.5774809779,17.2888782143,22.6128594969,19.895031887,6.6522402128,13.2575272768,209.879082193,2000.6266477035479,48.876090099,21.2259391721,77.8495023631,3396.046704638285,6.24705135187,23.133965032,2.3618522666,24.3599613276,15.9934049844,19.8239042175,8.11377708804,16.6454493048,19.7906934257,15.1616658778,1.50180594264,17.390279176,6.86158813276,16.0720655771,4.53272257939,15.5186298318,4.71760112701,22.3959465631,3.14506744919,18.2311579649,9.73825472875,19.367599478,212.76329114474538,776.161193281,,3274.7887568866345
8.86107686634,15.1288902695,6.0878779266,79.8803823345,8.86712651421,15.7857057807,66.8546727217,16.6081153305,23.3107899393,20.2971018624,9.43520239735,14.4602454421,210.724055225,2115.3407915416456,49.721063131,22.1725395565,77.1266941583,3503.2502961916152,8.60141363609,32.9959789502,3.9296335548,15.5870700076,15.2705967282,20.7637018685,8.23594186385,16.8325735274,18.9457203937,15.4417509017,2.31077185479,18.5680159591,6.01661510075,16.9396102305,6.0909531487,16.3651006252,7.86266866313,23.3109497352,6.28301531981,19.3675996406,8.40802921898,20.7586866792,213.60137326030784,846.278779842,,3386.4023781252904
7.71430073871,18.4253554791,6.81068623416,76.7190614927,8.14431830937,15.8948318518,66.0096997197,17.5370264763,24.3114284179,20.5844120967,11.794002985,14.9544493014,211.446863481,2231.1380485279983,48.876090099,22.3206856021,77.8495023631,3611.919489292018,12.6431025472,42.0656593634,3.20682529861,7.18058894412,16.1155697903,20.8379146841,6.54599582986,17.5685059188,19.7906934257,16.9294143291,2.70503975101,19.2154979834,6.86158813276,17.0860760071,9.05411952255,14.9276003768,10.5464900937,24.0171385922,9.42452306386,19.7189235001,7.41501788484,20.5506887776,212.76329114474538,902.674652837,,3499.316884870703
7.55800450143,18.917032277,5.96571317213,73.2891437182,8.86712651421,16.324792408,66.8546727217,18.4043572625,26.6824615907,21.2713676767,14.6205882635,15.8441144413,209.879082193,2348.5042406059497,49.721063131,23.2461447402,77.1266941583,3722.7307511142208,14.2398985919,51.9941502111,2.3618522666,0.324874862439,15.2705967282,22.1509590435,7.39096883184,17.7820141424,18.9457203937,17.8161932013,1.99318718134,20.3850070227,6.01661510075,18.8098937518,10.6798878456,15.8016979762,13.6131999561,24.6007991636,16.317200422,19.8224484224,5.40253861132,20.6419801184,212.87367706474387,923.863568356,,3614.11993475662
7.36041630888,18.5697526325,5.24290486458,68.6722978741,8.14431830937,16.8787493421,66.0096997197,18.0590803113,28.2421753537,21.9978418352,14.6526525048,16.1278476063,210.724055225,2468.2691553616373,48.876090099,24.1848775977,77.8495023631,3835.9279543332113,18.7549883638,61.9065148623,3.0846605228,5.74746595407,15.9934049844,23.1207014649,6.54599582986,18.5893256535,19.7906934257,18.5828538275,1.28133458131,21.3230004436,6.86158813276,20.5844120585,11.1140672024,16.7063102025,16.1361273015,25.4207250701,19.9705894188,20.6858131336,4.33827253645,20.7781186089,213.60137326030784,912.34650053,,3731.1387630936338
